,SPECOBJID,RA,DEC
0,b'    299527610126329856',145.83254,-1.0027092
1,b'    299552349137954816',145.67423,-0.38081052
2,b'    299525136694929408',145.83254,-1.0027092
3,b'    299553723997251584',145.67423,-0.38081052
4,b'    299584510322829312',145.2928,0.37633508
5,b'    299589458125154304',145.7304,1.1649383
6,b'    300628771122210816',148.5264,-0.97168901
7,b'    300678524023367680',147.65636,-0.54811511
8,b'    300685121093134336',147.4488,-0.96330768
9,b'    300703812790806528',146.52448,0.83016299
10,b'    300704637424527360',147.18509,1.0136953
11,b'    300768409098938368',148.54058,0.25761725
12,b'    301820642146150400',148.64859,-1.2369798
13,b'    301830537750800384',147.92671,1.0015873
14,b'    301840158477543424',148.21301,0.25800234
15,b'    302900086814304256',151.63655,0.061524437
16,b'    302928674116626432',150.79104,-0.040892645
17,b'    302966057511970816',150.49963,0.36268506
18,b'    302974028971272192',150.91338,0.5826408
19,b'    302990521645688832',150.93541,1.1979132
20,b'    303023506994522112',151.2808,1.2022459
21,b'    302899817456101376',151.63655,0.061524437
22,b'    302928404758423552',150.79104,-0.040892645
23,b'    302976508392138752',150.91338,0.5826408
24,b'    303025161781667840',151.2808,1.2022459
25,b'    303998779311286272',153.78315,-0.53540694
26,b'    304088114631043072',150.99527,0.16545354
27,b'    304091688043833344',151.13819,0.058669893
28,b'    305206867276097536',153.78315,-0.53540694
29,b'    305269814316787712',155.04141,0.32924739
30,b'    305276686264461312',154.90817,0.60798499
31,b'    305294553328412672',155.55133,0.0053898192
32,b'    306296209394395136',155.99482,-0.54656501
33,b'    306372900330432512',155.88717,0.37688648
34,b'    306379222522292224',156.03779,0.70492538
35,b'    306397089586243584',156.54192,0.46662828
36,b'    306415231528101888',156.73173,0.94981417
37,b'    307373456180144128',158.95576,-1.0399466
38,b'    307475435883620352',157.39366,0.57066453
39,b'    307504023185942528',158.24508,0.4817772
40,b'    307532610488264704',158.99202,0.2940101
41,b'    308594463104591872',159.27889,0.27089999
42,b'    308599410906916864',159.37033,0.9549642
43,b'    308642841616214016',160.2655,1.2445884
44,b'    309659614943668224',161.50096,-0.70700927
45,b'    309690401269245952',160.86426,-0.98028289
46,b'    309696173705291776',160.99532,-0.47853899
47,b'    309749774897145856',161.31435,0.25713116
48,b'    309768466594818048',161.8289,1.2361111
49,b'    310761325577922560',163.95283,-0.77088245
50,b'    310850660897679360',162.67467,0.88554138
51,b'    310859456990701568',163.00725,0.91873453
52,b'    310874850153490432',163.10556,0.86815031
53,b'    310920205008136192',164.74916,0.40929658
54,b'    311907566433101824',165.30323,-0.9570523
55,b'    311931480811005952',165.14383,-1.1558327
56,b'    311961167624955904',164.25915,-0.25863739
57,b'    311977935177279488',164.89422,1.1866871
58,b'    311990854438905856',165.25171,0.065200723
59,b'    313123626159204352',167.32649,0.93289126
60,b'    313134346397575168',167.37209,0.69263756
61,b'    313167606624315392',167.89151,1.2136421
62,b'    314283056271747072',169.57116,1.0436795
63,b'    314284705539188736',169.56488,0.82072654
64,b'    315294057280595968',170.94816,0.071706374
65,b'    315349307739891712',169.92548,0.59355104
66,b'    316378450657044480',172.66281,-1.0026626
67,b'    316395493087275008',172.52646,-0.31484275
68,b'    316488126941915136',171.26866,1.1227895
69,b'    316491425476798464',171.5802,1.0332401
70,b'    317537336181155840',173.81738,-1.1816578
71,b'    317552179588130816',173.90419,-0.12331672
72,b'    317601107855566848',172.56881,0.61298162
73,b'    317609354192775168',172.92504,0.57919565
74,b'    317637666617190400',173.77292,0.20680165
75,b'    317538985918359552',173.81738,-1.1816578
76,b'    317611828563699712',172.92504,0.57919565
77,b'    318636572159272960',177.22731,-0.54613218
78,b'    318696220665079808',175.89499,-1.1896091
79,b'    318764665263908864',176.35166,0.13373293
80,b'    318783082083674112',176.94823,-0.11893442
81,b'    318786380618557440',176.4009,0.94150344
82,b'    318636298556434432',177.22731,-0.54613218
83,b'    318764941416884224',176.35166,0.13373293
84,b'    318781708969207808',176.94823,-0.11893442
85,b'    318786931649439744',176.4009,0.94150344
86,b'    318636028694915072',177.22731,-0.54613218
87,b'    318685231840258048',175.89499,-1.1896091
88,b'    318767145456527360',176.35166,0.13373293
89,b'    318781713985595392',176.94823,-0.11893442
90,b'    318788036177455104',176.4009,0.94150344
91,b'    319836965287520256',176.94133,-0.78391073
92,b'    319884519165421568',178.06316,0.12584445
93,b'    319913931101464576',178.50273,0.97134068
94,b'    319836420246104064',176.94133,-0.78391073
95,b'    319885073635633152',178.06316,0.12584445
96,b'    319909812647258112',178.50273,0.97134068
97,b'    320936476932073472',179.91252,-0.39861933
98,b'    320960666187884544',179.1643,-1.1768044
99,b'    320975234716952576',178.35175,0.12213087
100,b'    321048627118106624',180.46657,0.88572382
101,b'    320932633120892928',179.91252,-0.39861933
102,b'    320973589929027584',178.8409,0.9471342
103,b'    320979362365073408',178.35175,0.12213087
104,b'    321048356719716352',180.46657,0.88572382
105,b'    322121206348146688',181.03081,0.94037377
106,b'    323238310564620288',182.27436,0.58352242
107,b'    323259476163454976',183.16393,0.68876025
108,b'    324366409108842496',183.90931,0.54497852
109,b'    324370532277446656',184.70365,1.2068589
110,b'    324376029835585536',184.4324,0.58085162
111,b'    324377404225120256',184.56943,0.13709444
112,b'    325399949871179776',187.49245,-1.1484676
113,b'    325524744440932352',187.10828,0.49487259
114,b'    326575052101281792',188.64541,-0.14112614
115,b'    327700397537912832',190.83137,-0.27172505
116,b'    327709193630935040',190.39681,-0.45143889
117,b'    327710847394670592',190.39681,-0.45143889
118,b'    328805680746096640',192.82957,-0.069210019
119,b'    328851860234463232',191.57409,0.89457406
120,b'    328877698757715968',192.20508,1.0326609
121,b'    329904643960236032',195.03006,-0.99640973
122,b'    329934330774185984',194.51313,-0.32976601
123,b'    330003600006735872',194.78431,0.96716084
124,b'    329935435402864640',194.51313,-0.32976601
125,b'    331071230780139520',196.48566,-1.2277138
126,b'    331155343419664384',197.14727,0.11391897
127,b'    332147096180254720',199.53246,-0.16399499
128,b'    332158641052346368',199.26198,-0.80157154
129,b'    332230384186058752',197.30856,0.99609257
130,b'    332273265139542016',198.56285,0.4971921
131,b'    332150676303931392',199.53246,-0.16399499
132,b'    332158098007418880',199.26198,-0.80157154
133,b'    332167443856254976',198.23553,-1.2333431
134,b'    332246058937640960',197.30856,0.99609257
135,b'    332275745751590912',198.56285,0.4971921
136,b'    333287014742910976',200.88609,-0.59945575
137,b'    333310104487094272',200.35084,-0.16869169
138,b'    333353810074298368',199.32445,-0.81570305
139,b'    333287016202528768',200.88609,-0.59945575
140,b'    333308181801363456',200.35084,-0.16869169
141,b'    333351887388567552',199.32445,-0.81570305
