,CLEAN_SPECOBJID,RA,DEC
0,299527610126329856,145.83254,-1.0027092
1,299552349137954816,145.67423,-0.38081052
2,299525136694929408,145.83254,-1.0027092
3,299553723997251584,145.67423,-0.38081052
4,299584510322829312,145.2928,0.37633508
7,300678524023367680,147.65636,-0.54811511
12,300768409098938368,148.54058,0.25761725
15,301830537750800384,147.92671,1.0015873
16,301840158477543424,148.21301,0.25800234
17,302900086814304256,151.63655,0.061524437
20,302974028971272192,150.91338,0.5826408
22,302990521645688832,150.93541,1.1979132
23,303023506994522112,151.2808,1.2022459
24,302899817456101376,151.63655,0.061524437
26,302976508392138752,150.91338,0.5826408
28,303025161781667840,151.2808,1.2022459
29,303998779311286272,153.78315,-0.53540694
32,305206867276097536,153.78315,-0.53540694
34,305276686264461312,154.90817,0.60798499
35,305294553328412672,155.55133,0.0053898192
37,306372900330432512,155.88717,0.37688648
38,306379222522292224,156.03779,0.70492538
39,306397089586243584,156.54192,0.46662828
41,307373456180144128,158.95576,-1.0399466
43,307504023185942528,158.24508,0.4817772
44,307532610488264704,158.99202,0.2940101
46,308599410906916864,159.37033,0.9549642
48,309659614943668224,161.50096,-0.70700927
49,309690401269245952,160.86426,-0.98028289
53,310761325577922560,163.95283,-0.77088245
54,310850660897679360,162.67467,0.88554138
55,310859456990701568,163.00725,0.91873453
56,310874850153490432,163.10556,0.86815031
57,310920205008136192,164.74916,0.40929658
59,311931480811005952,165.14383,-1.1558327
62,311990854438905856,165.25171,0.065200723
63,313123626159204352,167.32649,0.93289126
65,313167606624315392,167.89151,1.2136421
67,314284705539188736,169.56488,0.82072654
68,315294057280595968,170.94816,0.071706374
70,316378450657044480,172.66281,-1.0026626
71,316395493087275008,172.52646,-0.31484275
72,316488126941915136,171.26866,1.1227895
73,316491425476798464,171.5802,1.0332401
74,317537336181155840,173.81738,-1.1816578
75,317552179588130816,173.90419,-0.12331672
76,317601107855566848,172.56881,0.61298162
79,317538985918359552,173.81738,-1.1816578
81,318636572159272960,177.22731,-0.54613218
83,318764665263908864,176.35166,0.13373293
86,318786380618557440,176.4009,0.94150344
87,318636298556434432,177.22731,-0.54613218
88,318764941416884224,176.35166,0.13373293
91,318786931649439744,176.4009,0.94150344
92,318636028694915072,177.22731,-0.54613218
94,318767145456527360,176.35166,0.13373293
97,318788036177455104,176.4009,0.94150344
98,319836965287520256,176.94133,-0.78391073
100,319913931101464576,178.50273,0.97134068
101,319836420246104064,176.94133,-0.78391073
103,319909812647258112,178.50273,0.97134068
104,320936476932073472,179.91252,-0.39861933
105,320960666187884544,179.1643,-1.1768044
106,320975234716952576,178.35175,0.12213087
108,320932633120892928,179.91252,-0.39861933
110,320979362365073408,178.35175,0.12213087
113,323238310564620288,182.27436,0.58352242
114,323259476163454976,183.16393,0.68876025
117,324376029835585536,184.4324,0.58085162
118,324377404225120256,184.56943,0.13709444
119,325399949871179776,187.49245,-1.1484676
123,327709193630935040,190.39681,-0.45143889
124,327710847394670592,190.39681,-0.45143889
126,328851860234463232,191.57409,0.89457406
127,328877698757715968,192.20508,1.0326609
128,329904643960236032,195.03006,-0.99640973
130,330003600006735872,194.78431,0.96716084
133,331155343419664384,197.14727,0.11391897
134,332147096180254720,199.53246,-0.16399499
135,332158641052346368,199.26198,-0.80157154
136,332230384186058752,197.30856,0.99609257
137,332273265139542016,198.56285,0.4971921
138,332150676303931392,199.53246,-0.16399499
139,332158098007418880,199.26198,-0.80157154
140,332167443856254976,198.23553,-1.2333431
141,332246058937640960,197.30856,0.99609257
142,332275745751590912,198.56285,0.4971921
143,333287014742910976,200.88609,-0.59945575
146,333287016202528768,200.88609,-0.59945575
149,333357384946706432,199.01884,0.82215455
151,333358489810266112,199.01884,0.82215455
155,335555583518205952,203.66677,-0.74104154
156,335610009343780864,202.57309,1.1807064
158,335554763800209408,203.66677,-0.74104154
160,335611113771132928,202.57309,1.1807064
161,335617161085085696,202.34589,0.6295259
162,335644099119966208,203.28389,1.0427002
163,336655645052790784,205.735,-1.1620665
165,337826349974579200,207.1038,-0.81636995
166,337871429951318016,206.75547,1.2473188
168,337829378278844416,207.1038,-0.81636995
169,337864562650933248,205.89961,0.56201012
170,337871159720699904,206.75547,1.2473188
171,338912667043391488,210.48741,-0.33873953
175,340128452814333952,211.39664,0.57714963
177,341296132938295296,214.14183,0.6371914
178,342289816471234560,215.64368,-0.21844139
179,342335171325880320,214.81925,-1.1867516
180,342375028622387200,214.1847,0.42850064
184,342420658354939904,215.73884,0.060531608
185,342379157629462528,214.1847,0.42850064
189,343417640590534656,216.56191,-1.0554867
191,343486634945177600,215.70876,-1.0585789
194,344606487940720640,217.2292,-1.1735917
196,344603740050843648,217.2292,-1.1735917
197,345778292894230528,219.58224,0.59588797
198,346791217964541952,222.25764,-1.1004646
200,346945149592430592,222.3198,0.7948326
201,347986112293136384,222.81161,-0.31265094
202,348075172734986240,224.69753,0.58550129
203,347989691208853504,222.81161,-0.31265094
205,348074628482099200,224.69753,0.58550129
207,349126579890186240,224.98168,0.81077259
208,349118064949749760,224.98168,0.81077259
209,350250556473763840,226.90141,0.7886845
211,351287121463502848,230.42147,-0.47078597
214,351456171376273408,230.23891,0.093861647
215,352530943723988992,231.2763,0.99199575
217,354660147823405056,235.47609,-1.0419651
219,354799236044318720,235.01755,0.34777967
222,354804183846643712,234.98217,1.1879452
224,363688511871674368,183.24978,-1.1166716
225,363688786749581312,183.11821,-0.95845889
226,363713525761206272,183.17656,-0.3203691
231,363766852075153408,182.43577,1.2443448
232,363777847191431168,182.66413,1.1806409
235,363806434493753344,183.3864,0.43390412
237,363813856197240832,183.12543,0.84399064
238,363818529121658880,183.71107,0.55833644
240,367063475563816960,172.95212,-3.0583752
242,368239676768675840,173.31027,-3.4722819
246,369331491613730816,175.19959,-3.2334956
249,370512638188218368,175.49259,-1.5371741
250,370516486478915584,175.3075,-2.4732772
251,371635244828223488,177.28596,-1.5332545
